index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
27501,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Kenya,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,150,United States,2005,198.78
27546,"Cost-effectiveness implications of GP intervention to promote physical activity: evidence from Perth, Australia","ABSTRACT: BACKGROUND: Physical inactivity is a major risk factor for many chronic diseases including diabetes, cardiovascular diseases and some cancers. It is estimated that, in Australia, physical inactivity contributes to 13,500 annual deaths and incurs an annual cost of AU$ 21 billion to the health care system. The cost of physical inactivity to the Western Australian (WA) economy is estimated to be about AU$ 2.1 billion. Increased burden of physical inactivity has motivated health professionals to seek cost effective intervention to promote physical activity. One such strategy is encouraging general practitioners (GPs) to advocate physical activity to the patients who are at high risk of developing chronic diseases associated with physical inactivity. This study intends to investigate the cost-effectiveness of a subsidy program for GP advice to promote physical activity. Methodology: The percentage of population that could potentially move from insufficiently active to sufficiently active, on GP advice was drawn from the Western Australian (WA) Premier's Physical Activity Taskforce (PATF) survey in 2006. Population impact fractions (PIF) for diseases attributable to physical inactivity together with disability adjusted life years (DALYs) and health care expenditure were used to estimate the net cost of intervention for varying subsidies. Cost-effectiveness of subsidy programs were evaluated in terms of cost per DALY saved at different compliance rates. RESULTS: With a 50% adherence to GP advice, an annual health care cost of AU$ 24 million could be potentially saved to the WA economy. A DALY can be saved at a cost of AU $ 11,000 with a AU$ 25 subsidy at a 50% compliance rate. Cost effectiveness of such a subsidy program decreases at higher subsidy and lower compliance rates. CONCLUSION: Implementing a subsidy for GP advice could potentially reduce the burden of physical inactivity. However, the cost-effectiveness of a subsidy program for GP advice depends on the percentage of population who comply with GP advice.",2010-99-06310,20462457,Cost Eff Resour Alloc,Kerry McBrien,2010,8 / 1,10,Yes,20462457,"Kerry McBrien; Cost-effectiveness implications of GP intervention to promote physical activity: evidence from Perth, Australia, Cost Eff Resour Alloc, 2010-May-13; 8(1):1478-7547; 10",DALY,Australia,Not Stated,Health Education or Behavior,Subsidy for General practtitioner (GP) advice to promote physical activity vs. None,High risk of developing chronic diseases associated with physical inactivity,Not Stated,12 Years,"Female, Male",Full,Not Stated / None,Not Stated,Not Stated,10775,Australia,2003,9887.28
27547,Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India,"BACKGROUND: Information on cost-effectiveness of the range of HIV prevention interventions is a useful contributor to decisions on the best use of resources to prevent HIV. We conducted this assessment for the state of Andhra Pradesh that has the highest HIV burden in India. METHODS: Based on data from a representative sample of 128 public-funded HIV prevention programs of 14 types in Andhra Pradesh, we have recently reported the number of HIV infections averted by each type of HIV prevention intervention and their cost. Using estimates of the age of onset of HIV infection, we used standard methods to calculate the cost per Disability Adjusted Life Year (DALY) saved as a measure of cost-effectiveness of each type of HIV prevention intervention. RESULTS: The point estimates of the cost per DALY saved were less than US $50 for blood banks, men who have sex with men programmes, voluntary counselling and testing centres, prevention of parent to child transmission clinics, sexually transmitted infection clinics, and women sex worker programmes; between US $50 and 100 for truckers and migrant labourer programmes; more than US $100 and up to US $410 for composite, street children, condom promotion, prisoners and workplace programmes and mass media campaign for the general public. The uncertainty range around these estimates was very wide for several interventions, with the ratio of the high to the low estimates infinite for five interventions. CONCLUSIONS: The point estimates for the cost per DALY saved from the averted HIV infections for all interventions was much lower than the per capita gross domestic product in this Indian state. While these indicative cost-effectiveness estimates can inform HIV control planning currently, the wide uncertainty range around estimates for several interventions suggest the need for more firm data for estimating cost-effectiveness of HIV prevention interventions in India.",2010-99-06313,20459755,BMC Health Serv Res,Kerry McBrien,2010,10 /,117,Yes,20459755,"Kerry McBrien; Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India, BMC Health Serv Res, 2010; 10():1472-6963; 117",DALY,India,Not Stated,"Care Delivery, Health Education or Behavior, Maternal / Neonatal / Reproductive Care",Voluntary counseling and testing (VCT) centers for HIV prevention vs. None,High risk of HIV,Not Stated,Not Stated,"Female, Male",Full,,3.00,3.00,1047,India,2005,31.54
27548,Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India,"BACKGROUND: Information on cost-effectiveness of the range of HIV prevention interventions is a useful contributor to decisions on the best use of resources to prevent HIV. We conducted this assessment for the state of Andhra Pradesh that has the highest HIV burden in India. METHODS: Based on data from a representative sample of 128 public-funded HIV prevention programs of 14 types in Andhra Pradesh, we have recently reported the number of HIV infections averted by each type of HIV prevention intervention and their cost. Using estimates of the age of onset of HIV infection, we used standard methods to calculate the cost per Disability Adjusted Life Year (DALY) saved as a measure of cost-effectiveness of each type of HIV prevention intervention. RESULTS: The point estimates of the cost per DALY saved were less than US $50 for blood banks, men who have sex with men programmes, voluntary counselling and testing centres, prevention of parent to child transmission clinics, sexually transmitted infection clinics, and women sex worker programmes; between US $50 and 100 for truckers and migrant labourer programmes; more than US $100 and up to US $410 for composite, street children, condom promotion, prisoners and workplace programmes and mass media campaign for the general public. The uncertainty range around these estimates was very wide for several interventions, with the ratio of the high to the low estimates infinite for five interventions. CONCLUSIONS: The point estimates for the cost per DALY saved from the averted HIV infections for all interventions was much lower than the per capita gross domestic product in this Indian state. While these indicative cost-effectiveness estimates can inform HIV control planning currently, the wide uncertainty range around estimates for several interventions suggest the need for more firm data for estimating cost-effectiveness of HIV prevention interventions in India.",2010-99-06313,20459755,BMC Health Serv Res,Kerry McBrien,2010,10 /,117,Yes,20459755,"Kerry McBrien; Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India, BMC Health Serv Res, 2010; 10():1472-6963; 117",DALY,India,Not Stated,"Care Delivery, Health Education or Behavior, Maternal / Neonatal / Reproductive Care",Prevention of parent to child transmission (PPTCT) clinics for HIV prevention vs. None,High risk of HIV,Not Stated,Not Stated,"Female, Male",Full,,3.00,3.00,946,India,2005,28.5
27549,Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India,"BACKGROUND: Information on cost-effectiveness of the range of HIV prevention interventions is a useful contributor to decisions on the best use of resources to prevent HIV. We conducted this assessment for the state of Andhra Pradesh that has the highest HIV burden in India. METHODS: Based on data from a representative sample of 128 public-funded HIV prevention programs of 14 types in Andhra Pradesh, we have recently reported the number of HIV infections averted by each type of HIV prevention intervention and their cost. Using estimates of the age of onset of HIV infection, we used standard methods to calculate the cost per Disability Adjusted Life Year (DALY) saved as a measure of cost-effectiveness of each type of HIV prevention intervention. RESULTS: The point estimates of the cost per DALY saved were less than US $50 for blood banks, men who have sex with men programmes, voluntary counselling and testing centres, prevention of parent to child transmission clinics, sexually transmitted infection clinics, and women sex worker programmes; between US $50 and 100 for truckers and migrant labourer programmes; more than US $100 and up to US $410 for composite, street children, condom promotion, prisoners and workplace programmes and mass media campaign for the general public. The uncertainty range around these estimates was very wide for several interventions, with the ratio of the high to the low estimates infinite for five interventions. CONCLUSIONS: The point estimates for the cost per DALY saved from the averted HIV infections for all interventions was much lower than the per capita gross domestic product in this Indian state. While these indicative cost-effectiveness estimates can inform HIV control planning currently, the wide uncertainty range around estimates for several interventions suggest the need for more firm data for estimating cost-effectiveness of HIV prevention interventions in India.",2010-99-06313,20459755,BMC Health Serv Res,Kerry McBrien,2010,10 /,117,Yes,20459755,"Kerry McBrien; Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India, BMC Health Serv Res, 2010; 10():1472-6963; 117",DALY,India,Not Stated,"Care Delivery, Health Education or Behavior, Maternal / Neonatal / Reproductive Care",Sexually transmitted infection (STI) clinics for HIV prevention vs. None,High risk of HIV,Not Stated,Not Stated,"Female, Male",Full,,3.00,3.00,1306,India,2005,39.35
27550,Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India,"BACKGROUND: Information on cost-effectiveness of the range of HIV prevention interventions is a useful contributor to decisions on the best use of resources to prevent HIV. We conducted this assessment for the state of Andhra Pradesh that has the highest HIV burden in India. METHODS: Based on data from a representative sample of 128 public-funded HIV prevention programs of 14 types in Andhra Pradesh, we have recently reported the number of HIV infections averted by each type of HIV prevention intervention and their cost. Using estimates of the age of onset of HIV infection, we used standard methods to calculate the cost per Disability Adjusted Life Year (DALY) saved as a measure of cost-effectiveness of each type of HIV prevention intervention. RESULTS: The point estimates of the cost per DALY saved were less than US $50 for blood banks, men who have sex with men programmes, voluntary counselling and testing centres, prevention of parent to child transmission clinics, sexually transmitted infection clinics, and women sex worker programmes; between US $50 and 100 for truckers and migrant labourer programmes; more than US $100 and up to US $410 for composite, street children, condom promotion, prisoners and workplace programmes and mass media campaign for the general public. The uncertainty range around these estimates was very wide for several interventions, with the ratio of the high to the low estimates infinite for five interventions. CONCLUSIONS: The point estimates for the cost per DALY saved from the averted HIV infections for all interventions was much lower than the per capita gross domestic product in this Indian state. While these indicative cost-effectiveness estimates can inform HIV control planning currently, the wide uncertainty range around estimates for several interventions suggest the need for more firm data for estimating cost-effectiveness of HIV prevention interventions in India.",2010-99-06313,20459755,BMC Health Serv Res,Kerry McBrien,2010,10 /,117,Yes,20459755,"Kerry McBrien; Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India, BMC Health Serv Res, 2010; 10():1472-6963; 117",DALY,India,Not Stated,"Care Delivery, Health Education or Behavior, Maternal / Neonatal / Reproductive Care",Blood banks for HIV prevention vs. None,High risk of HIV,Not Stated,Not Stated,"Female, Male",Full,,3.00,3.00,170,India,2005,5.12
27551,Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India,"BACKGROUND: Information on cost-effectiveness of the range of HIV prevention interventions is a useful contributor to decisions on the best use of resources to prevent HIV. We conducted this assessment for the state of Andhra Pradesh that has the highest HIV burden in India. METHODS: Based on data from a representative sample of 128 public-funded HIV prevention programs of 14 types in Andhra Pradesh, we have recently reported the number of HIV infections averted by each type of HIV prevention intervention and their cost. Using estimates of the age of onset of HIV infection, we used standard methods to calculate the cost per Disability Adjusted Life Year (DALY) saved as a measure of cost-effectiveness of each type of HIV prevention intervention. RESULTS: The point estimates of the cost per DALY saved were less than US $50 for blood banks, men who have sex with men programmes, voluntary counselling and testing centres, prevention of parent to child transmission clinics, sexually transmitted infection clinics, and women sex worker programmes; between US $50 and 100 for truckers and migrant labourer programmes; more than US $100 and up to US $410 for composite, street children, condom promotion, prisoners and workplace programmes and mass media campaign for the general public. The uncertainty range around these estimates was very wide for several interventions, with the ratio of the high to the low estimates infinite for five interventions. CONCLUSIONS: The point estimates for the cost per DALY saved from the averted HIV infections for all interventions was much lower than the per capita gross domestic product in this Indian state. While these indicative cost-effectiveness estimates can inform HIV control planning currently, the wide uncertainty range around estimates for several interventions suggest the need for more firm data for estimating cost-effectiveness of HIV prevention interventions in India.",2010-99-06313,20459755,BMC Health Serv Res,Kerry McBrien,2010,10 /,117,Yes,20459755,"Kerry McBrien; Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India, BMC Health Serv Res, 2010; 10():1472-6963; 117",DALY,India,Not Stated,"Care Delivery, Health Education or Behavior, Maternal / Neonatal / Reproductive Care",Women sex worker (SW) programs for HIV prevention vs. None,High risk of HIV,Not Stated,19 Years,Female,Full,,3.00,3.00,1567,India,2005,47.21
27552,Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India,"BACKGROUND: Information on cost-effectiveness of the range of HIV prevention interventions is a useful contributor to decisions on the best use of resources to prevent HIV. We conducted this assessment for the state of Andhra Pradesh that has the highest HIV burden in India. METHODS: Based on data from a representative sample of 128 public-funded HIV prevention programs of 14 types in Andhra Pradesh, we have recently reported the number of HIV infections averted by each type of HIV prevention intervention and their cost. Using estimates of the age of onset of HIV infection, we used standard methods to calculate the cost per Disability Adjusted Life Year (DALY) saved as a measure of cost-effectiveness of each type of HIV prevention intervention. RESULTS: The point estimates of the cost per DALY saved were less than US $50 for blood banks, men who have sex with men programmes, voluntary counselling and testing centres, prevention of parent to child transmission clinics, sexually transmitted infection clinics, and women sex worker programmes; between US $50 and 100 for truckers and migrant labourer programmes; more than US $100 and up to US $410 for composite, street children, condom promotion, prisoners and workplace programmes and mass media campaign for the general public. The uncertainty range around these estimates was very wide for several interventions, with the ratio of the high to the low estimates infinite for five interventions. CONCLUSIONS: The point estimates for the cost per DALY saved from the averted HIV infections for all interventions was much lower than the per capita gross domestic product in this Indian state. While these indicative cost-effectiveness estimates can inform HIV control planning currently, the wide uncertainty range around estimates for several interventions suggest the need for more firm data for estimating cost-effectiveness of HIV prevention interventions in India.",2010-99-06313,20459755,BMC Health Serv Res,Kerry McBrien,2010,10 /,117,Yes,20459755,"Kerry McBrien; Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India, BMC Health Serv Res, 2010; 10():1472-6963; 117",DALY,India,Not Stated,"Care Delivery, Health Education or Behavior, Maternal / Neonatal / Reproductive Care",Men who have sex with men (MSM) programs for HIV prevention vs. None,men who have sex with men,Not Stated,19 Years,Male,Full,,3.00,3.00,406,India,2005,12.23
27553,Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India,"BACKGROUND: Information on cost-effectiveness of the range of HIV prevention interventions is a useful contributor to decisions on the best use of resources to prevent HIV. We conducted this assessment for the state of Andhra Pradesh that has the highest HIV burden in India. METHODS: Based on data from a representative sample of 128 public-funded HIV prevention programs of 14 types in Andhra Pradesh, we have recently reported the number of HIV infections averted by each type of HIV prevention intervention and their cost. Using estimates of the age of onset of HIV infection, we used standard methods to calculate the cost per Disability Adjusted Life Year (DALY) saved as a measure of cost-effectiveness of each type of HIV prevention intervention. RESULTS: The point estimates of the cost per DALY saved were less than US $50 for blood banks, men who have sex with men programmes, voluntary counselling and testing centres, prevention of parent to child transmission clinics, sexually transmitted infection clinics, and women sex worker programmes; between US $50 and 100 for truckers and migrant labourer programmes; more than US $100 and up to US $410 for composite, street children, condom promotion, prisoners and workplace programmes and mass media campaign for the general public. The uncertainty range around these estimates was very wide for several interventions, with the ratio of the high to the low estimates infinite for five interventions. CONCLUSIONS: The point estimates for the cost per DALY saved from the averted HIV infections for all interventions was much lower than the per capita gross domestic product in this Indian state. While these indicative cost-effectiveness estimates can inform HIV control planning currently, the wide uncertainty range around estimates for several interventions suggest the need for more firm data for estimating cost-effectiveness of HIV prevention interventions in India.",2010-99-06313,20459755,BMC Health Serv Res,Kerry McBrien,2010,10 /,117,Yes,20459755,"Kerry McBrien; Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India, BMC Health Serv Res, 2010; 10():1472-6963; 117",DALY,India,Not Stated,"Care Delivery, Health Education or Behavior, Maternal / Neonatal / Reproductive Care",Trucker programs for HIV prevention vs. None,High risk of HIV,Not Stated,Not Stated,"Female, Male",Full,,3.00,3.00,2924,India,2005,88.09
27554,Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India,"BACKGROUND: Information on cost-effectiveness of the range of HIV prevention interventions is a useful contributor to decisions on the best use of resources to prevent HIV. We conducted this assessment for the state of Andhra Pradesh that has the highest HIV burden in India. METHODS: Based on data from a representative sample of 128 public-funded HIV prevention programs of 14 types in Andhra Pradesh, we have recently reported the number of HIV infections averted by each type of HIV prevention intervention and their cost. Using estimates of the age of onset of HIV infection, we used standard methods to calculate the cost per Disability Adjusted Life Year (DALY) saved as a measure of cost-effectiveness of each type of HIV prevention intervention. RESULTS: The point estimates of the cost per DALY saved were less than US $50 for blood banks, men who have sex with men programmes, voluntary counselling and testing centres, prevention of parent to child transmission clinics, sexually transmitted infection clinics, and women sex worker programmes; between US $50 and 100 for truckers and migrant labourer programmes; more than US $100 and up to US $410 for composite, street children, condom promotion, prisoners and workplace programmes and mass media campaign for the general public. The uncertainty range around these estimates was very wide for several interventions, with the ratio of the high to the low estimates infinite for five interventions. CONCLUSIONS: The point estimates for the cost per DALY saved from the averted HIV infections for all interventions was much lower than the per capita gross domestic product in this Indian state. While these indicative cost-effectiveness estimates can inform HIV control planning currently, the wide uncertainty range around estimates for several interventions suggest the need for more firm data for estimating cost-effectiveness of HIV prevention interventions in India.",2010-99-06313,20459755,BMC Health Serv Res,Kerry McBrien,2010,10 /,117,Yes,20459755,"Kerry McBrien; Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India, BMC Health Serv Res, 2010; 10():1472-6963; 117",DALY,India,Not Stated,"Care Delivery, Health Education or Behavior, Maternal / Neonatal / Reproductive Care",Composite programs for HIV prevention vs. None,Not Stated,Not Stated,Not Stated,"Female, Male",Full,,3.00,3.00,5733,India,2005,172.72
27555,Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India,"BACKGROUND: Information on cost-effectiveness of the range of HIV prevention interventions is a useful contributor to decisions on the best use of resources to prevent HIV. We conducted this assessment for the state of Andhra Pradesh that has the highest HIV burden in India. METHODS: Based on data from a representative sample of 128 public-funded HIV prevention programs of 14 types in Andhra Pradesh, we have recently reported the number of HIV infections averted by each type of HIV prevention intervention and their cost. Using estimates of the age of onset of HIV infection, we used standard methods to calculate the cost per Disability Adjusted Life Year (DALY) saved as a measure of cost-effectiveness of each type of HIV prevention intervention. RESULTS: The point estimates of the cost per DALY saved were less than US $50 for blood banks, men who have sex with men programmes, voluntary counselling and testing centres, prevention of parent to child transmission clinics, sexually transmitted infection clinics, and women sex worker programmes; between US $50 and 100 for truckers and migrant labourer programmes; more than US $100 and up to US $410 for composite, street children, condom promotion, prisoners and workplace programmes and mass media campaign for the general public. The uncertainty range around these estimates was very wide for several interventions, with the ratio of the high to the low estimates infinite for five interventions. CONCLUSIONS: The point estimates for the cost per DALY saved from the averted HIV infections for all interventions was much lower than the per capita gross domestic product in this Indian state. While these indicative cost-effectiveness estimates can inform HIV control planning currently, the wide uncertainty range around estimates for several interventions suggest the need for more firm data for estimating cost-effectiveness of HIV prevention interventions in India.",2010-99-06313,20459755,BMC Health Serv Res,Kerry McBrien,2010,10 /,117,Yes,20459755,"Kerry McBrien; Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India, BMC Health Serv Res, 2010; 10():1472-6963; 117",DALY,India,Not Stated,"Care Delivery, Health Education or Behavior, Maternal / Neonatal / Reproductive Care",Workplace programs for HIV prevention vs. None,Not Stated,Not Stated,Not Stated,"Female, Male",Full,,3.00,3.00,13031,India,2005,392.6
27556,Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India,"BACKGROUND: Information on cost-effectiveness of the range of HIV prevention interventions is a useful contributor to decisions on the best use of resources to prevent HIV. We conducted this assessment for the state of Andhra Pradesh that has the highest HIV burden in India. METHODS: Based on data from a representative sample of 128 public-funded HIV prevention programs of 14 types in Andhra Pradesh, we have recently reported the number of HIV infections averted by each type of HIV prevention intervention and their cost. Using estimates of the age of onset of HIV infection, we used standard methods to calculate the cost per Disability Adjusted Life Year (DALY) saved as a measure of cost-effectiveness of each type of HIV prevention intervention. RESULTS: The point estimates of the cost per DALY saved were less than US $50 for blood banks, men who have sex with men programmes, voluntary counselling and testing centres, prevention of parent to child transmission clinics, sexually transmitted infection clinics, and women sex worker programmes; between US $50 and 100 for truckers and migrant labourer programmes; more than US $100 and up to US $410 for composite, street children, condom promotion, prisoners and workplace programmes and mass media campaign for the general public. The uncertainty range around these estimates was very wide for several interventions, with the ratio of the high to the low estimates infinite for five interventions. CONCLUSIONS: The point estimates for the cost per DALY saved from the averted HIV infections for all interventions was much lower than the per capita gross domestic product in this Indian state. While these indicative cost-effectiveness estimates can inform HIV control planning currently, the wide uncertainty range around estimates for several interventions suggest the need for more firm data for estimating cost-effectiveness of HIV prevention interventions in India.",2010-99-06313,20459755,BMC Health Serv Res,Kerry McBrien,2010,10 /,117,Yes,20459755,"Kerry McBrien; Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India, BMC Health Serv Res, 2010; 10():1472-6963; 117",DALY,India,Not Stated,"Care Delivery, Health Education or Behavior, Maternal / Neonatal / Reproductive Care",Migrant Labourer Program for HIV prevention vs. None,High risk of HIV,Not Stated,Not Stated,"Female, Male",Full,,3.00,3.00,3502,India,2005,105.51
27557,Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India,"BACKGROUND: Information on cost-effectiveness of the range of HIV prevention interventions is a useful contributor to decisions on the best use of resources to prevent HIV. We conducted this assessment for the state of Andhra Pradesh that has the highest HIV burden in India. METHODS: Based on data from a representative sample of 128 public-funded HIV prevention programs of 14 types in Andhra Pradesh, we have recently reported the number of HIV infections averted by each type of HIV prevention intervention and their cost. Using estimates of the age of onset of HIV infection, we used standard methods to calculate the cost per Disability Adjusted Life Year (DALY) saved as a measure of cost-effectiveness of each type of HIV prevention intervention. RESULTS: The point estimates of the cost per DALY saved were less than US $50 for blood banks, men who have sex with men programmes, voluntary counselling and testing centres, prevention of parent to child transmission clinics, sexually transmitted infection clinics, and women sex worker programmes; between US $50 and 100 for truckers and migrant labourer programmes; more than US $100 and up to US $410 for composite, street children, condom promotion, prisoners and workplace programmes and mass media campaign for the general public. The uncertainty range around these estimates was very wide for several interventions, with the ratio of the high to the low estimates infinite for five interventions. CONCLUSIONS: The point estimates for the cost per DALY saved from the averted HIV infections for all interventions was much lower than the per capita gross domestic product in this Indian state. While these indicative cost-effectiveness estimates can inform HIV control planning currently, the wide uncertainty range around estimates for several interventions suggest the need for more firm data for estimating cost-effectiveness of HIV prevention interventions in India.",2010-99-06313,20459755,BMC Health Serv Res,Kerry McBrien,2010,10 /,117,Yes,20459755,"Kerry McBrien; Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India, BMC Health Serv Res, 2010; 10():1472-6963; 117",DALY,India,Not Stated,"Care Delivery, Health Education or Behavior, Maternal / Neonatal / Reproductive Care",Street children programs for HIV prevention vs. None,High risk of HIV,18 Years,6 Years,"Female, Male",Full,,3.00,3.00,6934,India,2005,208.91
27558,Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India,"BACKGROUND: Information on cost-effectiveness of the range of HIV prevention interventions is a useful contributor to decisions on the best use of resources to prevent HIV. We conducted this assessment for the state of Andhra Pradesh that has the highest HIV burden in India. METHODS: Based on data from a representative sample of 128 public-funded HIV prevention programs of 14 types in Andhra Pradesh, we have recently reported the number of HIV infections averted by each type of HIV prevention intervention and their cost. Using estimates of the age of onset of HIV infection, we used standard methods to calculate the cost per Disability Adjusted Life Year (DALY) saved as a measure of cost-effectiveness of each type of HIV prevention intervention. RESULTS: The point estimates of the cost per DALY saved were less than US $50 for blood banks, men who have sex with men programmes, voluntary counselling and testing centres, prevention of parent to child transmission clinics, sexually transmitted infection clinics, and women sex worker programmes; between US $50 and 100 for truckers and migrant labourer programmes; more than US $100 and up to US $410 for composite, street children, condom promotion, prisoners and workplace programmes and mass media campaign for the general public. The uncertainty range around these estimates was very wide for several interventions, with the ratio of the high to the low estimates infinite for five interventions. CONCLUSIONS: The point estimates for the cost per DALY saved from the averted HIV infections for all interventions was much lower than the per capita gross domestic product in this Indian state. While these indicative cost-effectiveness estimates can inform HIV control planning currently, the wide uncertainty range around estimates for several interventions suggest the need for more firm data for estimating cost-effectiveness of HIV prevention interventions in India.",2010-99-06313,20459755,BMC Health Serv Res,Kerry McBrien,2010,10 /,117,Yes,20459755,"Kerry McBrien; Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India, BMC Health Serv Res, 2010; 10():1472-6963; 117",DALY,India,Not Stated,"Care Delivery, Health Education or Behavior, Maternal / Neonatal / Reproductive Care",Prisoner programs for HIV prevention vs. None,High risk of HIV,Not Stated,Not Stated,"Female, Male",Full,,3.00,3.00,12904,India,2005,388.77
27559,Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India,"BACKGROUND: Information on cost-effectiveness of the range of HIV prevention interventions is a useful contributor to decisions on the best use of resources to prevent HIV. We conducted this assessment for the state of Andhra Pradesh that has the highest HIV burden in India. METHODS: Based on data from a representative sample of 128 public-funded HIV prevention programs of 14 types in Andhra Pradesh, we have recently reported the number of HIV infections averted by each type of HIV prevention intervention and their cost. Using estimates of the age of onset of HIV infection, we used standard methods to calculate the cost per Disability Adjusted Life Year (DALY) saved as a measure of cost-effectiveness of each type of HIV prevention intervention. RESULTS: The point estimates of the cost per DALY saved were less than US $50 for blood banks, men who have sex with men programmes, voluntary counselling and testing centres, prevention of parent to child transmission clinics, sexually transmitted infection clinics, and women sex worker programmes; between US $50 and 100 for truckers and migrant labourer programmes; more than US $100 and up to US $410 for composite, street children, condom promotion, prisoners and workplace programmes and mass media campaign for the general public. The uncertainty range around these estimates was very wide for several interventions, with the ratio of the high to the low estimates infinite for five interventions. CONCLUSIONS: The point estimates for the cost per DALY saved from the averted HIV infections for all interventions was much lower than the per capita gross domestic product in this Indian state. While these indicative cost-effectiveness estimates can inform HIV control planning currently, the wide uncertainty range around estimates for several interventions suggest the need for more firm data for estimating cost-effectiveness of HIV prevention interventions in India.",2010-99-06313,20459755,BMC Health Serv Res,Kerry McBrien,2010,10 /,117,Yes,20459755,"Kerry McBrien; Cost-effectiveness of HIV prevention interventions in Andhra Pradesh state of India, BMC Health Serv Res, 2010; 10():1472-6963; 117",DALY,India,Not Stated,"Care Delivery, Health Education or Behavior, Maternal / Neonatal / Reproductive Care","State-wide information, education and communication (IEC) programs for the general public for HIV prevention vs. None",Not Stated,Not Stated,Not Stated,"Female, Male",Full,,3.00,3.00,17214,India,2005,518.62
