index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
29901,"Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR","BACKGROUND: Several approaches to reduce the incidence of invasive cervical cancers exist. The approach adopted should take into account contextual factors that influence the cost-effectiveness of the available options. OBJECTIVE: To determine the cost-effectiveness of screening strategies combined with a vaccination program for 10-year old girls for cervical cancer prevention in Vientiane, Lao PDR. METHODS: A population-based dynamic compartment model was constructed. The interventions consisted of a 10-year old girl vaccination program only, or this program combined with screening strategies, i.e., visual inspection with acetic acid (VIA), cytology-based screening, rapid human papillomavirus (HPV) DNA testing, or combined VIA and cytology testing. Simulations were run over 100 years. In base-case scenario analyses, we assumed a 70% vaccination coverage with lifelong protection and a 50% screening coverage. The outcome of interest was the incremental cost per Disability-Adjusted Life Year (DALY) averted. RESULTS: In base-case scenarios, compared to the next best strategy, the model predicted that VIA screening of women aged 30-65 years old every three years, combined with vaccination, was the most attractive option, costing 2 544 international dollars (I$) per DALY averted. Meanwhile, rapid HPV DNA testing was predicted to be more attractive than cytology-based screening or its combination with VIA. Among cytology-based screening options, combined VIA with conventional cytology testing was predicted to be the most attractive option. Multi-way sensitivity analyses did not change the results. Compared to rapid HPV DNA testing, VIA had a probability of cost-effectiveness of 73%. Compared to the vaccination only option, the probability that a program consisting of screening women every five years would be cost-effective was around 60% and 80% if the willingness-to-pay threshold is fixed at one and three GDP per capita, respectively. CONCLUSIONS: A VIA screening program in addition to a girl vaccination program was predicted to be the most attractive option in the health care context of Lao PDR. When compared with other screening methods, VIA was the primary recommended method for combination with vaccination in Lao PDR.",2016-99-22134,27631732,PLoS One,Phetsavanh Chanthavilay,2016,11 / 9,e0162915,No,27631732,"Phetsavanh Chanthavilay; Daniel Reinharz; Mayfong Mayxay; Keokedthong Phongsavan; Donald E Marsden; Lynne Moore; Lisa J White; Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR, PLoS One , 2016; 11(9):1932-6203; e0162915",DALY,Lao,Not Stated,"Diagnostic, Screening",Yearly Visual Inspection with Acetic Acid (VIA)_20-65 + vaccination vs. Yearly Visual Inspection with Acetic Acid (VIA)_25-65 + vaccination,Screening strategies across ages 25-65 combined with 10-years old girl vaccination,Not Stated,6 Years,Female,Full,,3.00,3.00,30462,United States,2013,33842.73
29955,Moving Beyond GDP: Cost Effectiveness of Cochlear Implantation and Deaf Education in Latin America,"HYPOTHESIS: Cochlear implantation (CI) and deaf education are cost effective management strategies of childhood profound sensorineural hearing loss in Latin America. BACKGROUND: CI has been widely established as cost effective in North America and Europe and is considered standard of care in those regions, yet cost effectiveness in other economic environments has not been explored. With 80% of the global hearing loss burden existing in low- and middle-income countries, developing cost effective management strategies in these settings is essential. This analysis represents the continuation of a global assessment of CI and deaf education cost effectiveness. METHODS: Brazil, Colombia, Ecuador, Guatemala, Paraguay, Trinidad and Tobago, and Venezuela participated in the study. A Disability Adjusted Life Years model was applied with 3% discounting and 10-year length of analysis. Experts from each country supplied cost estimates from known costs and published data. Sensitivity analysis was performed to evaluate the effect of device cost, professional salaries, annual number of implants, and probability of device failure. Cost effectiveness was determined using the World Health Organization standard of cost effectiveness ratio/gross domestic product per capita (CER/GDP)<3. RESULTS: Deaf education was very cost effective in all countries (CER/GDP 0.07-0.93). CI was cost effective in all countries (CER/GDP 0.69-2.96), with borderline cost effectiveness in the Guatemalan sensitivity analysis (Max CER/GDP 3.21). CONCLUSION: Both cochlear implantation and deaf education are widely cost effective in Latin America. In the lower-middle income economy of Guatemala, implant cost may have a larger impact. GDP is less influential in the middle- and high-income economies included in this study.",2016-99-22357,27518131,Otol Neurotol,Susan D Emmett,2016,37 / 8,1040-8,No,27518131,"Susan D Emmett; Debara L Tucci; Ricardo F Bento; Juan M Garcia; Solaiman Juman; Juan A Chiossone-Kerdel; Ta J Liu; Patricia Castellanos de Munoz; Alejandra Ullauri; Jose J Letort; Teresita Mansilla; Diana P Urquijo; Maria L Aparicio; Wenfeng Gong; Howard W Francis; James E Saunders; Moving Beyond GDP: Cost Effectiveness of Cochlear Implantation and Deaf Education in Latin America, Otol Neurotol, 2016 Sep; 37(8):1531-7129; 1040-8",DALY,Ecuador,Not Stated,"Health Education or Behavior, Medical Device, Medical Procedure",Cochlear implant vs. Deaf education,Not Stated,Not Stated,Not Stated,"Female, Male",Full,,3.00,3.00,175664,United States,2014,192044.2
29956,Moving Beyond GDP: Cost Effectiveness of Cochlear Implantation and Deaf Education in Latin America,"HYPOTHESIS: Cochlear implantation (CI) and deaf education are cost effective management strategies of childhood profound sensorineural hearing loss in Latin America. BACKGROUND: CI has been widely established as cost effective in North America and Europe and is considered standard of care in those regions, yet cost effectiveness in other economic environments has not been explored. With 80% of the global hearing loss burden existing in low- and middle-income countries, developing cost effective management strategies in these settings is essential. This analysis represents the continuation of a global assessment of CI and deaf education cost effectiveness. METHODS: Brazil, Colombia, Ecuador, Guatemala, Paraguay, Trinidad and Tobago, and Venezuela participated in the study. A Disability Adjusted Life Years model was applied with 3% discounting and 10-year length of analysis. Experts from each country supplied cost estimates from known costs and published data. Sensitivity analysis was performed to evaluate the effect of device cost, professional salaries, annual number of implants, and probability of device failure. Cost effectiveness was determined using the World Health Organization standard of cost effectiveness ratio/gross domestic product per capita (CER/GDP)<3. RESULTS: Deaf education was very cost effective in all countries (CER/GDP 0.07-0.93). CI was cost effective in all countries (CER/GDP 0.69-2.96), with borderline cost effectiveness in the Guatemalan sensitivity analysis (Max CER/GDP 3.21). CONCLUSION: Both cochlear implantation and deaf education are widely cost effective in Latin America. In the lower-middle income economy of Guatemala, implant cost may have a larger impact. GDP is less influential in the middle- and high-income economies included in this study.",2016-99-22357,27518131,Otol Neurotol,Susan D Emmett,2016,37 / 8,1040-8,No,27518131,"Susan D Emmett; Debara L Tucci; Ricardo F Bento; Juan M Garcia; Solaiman Juman; Juan A Chiossone-Kerdel; Ta J Liu; Patricia Castellanos de Munoz; Alejandra Ullauri; Jose J Letort; Teresita Mansilla; Diana P Urquijo; Maria L Aparicio; Wenfeng Gong; Howard W Francis; James E Saunders; Moving Beyond GDP: Cost Effectiveness of Cochlear Implantation and Deaf Education in Latin America, Otol Neurotol, 2016 Sep; 37(8):1531-7129; 1040-8",DALY,Ecuador,Not Stated,"Health Education or Behavior, Medical Device, Medical Procedure",Deaf education vs. None,Not Stated,Not Stated,Not Stated,"Female, Male",Full,,3.00,3.00,2808,United States,2014,3069.84
29957,Moving Beyond GDP: Cost Effectiveness of Cochlear Implantation and Deaf Education in Latin America,"HYPOTHESIS: Cochlear implantation (CI) and deaf education are cost effective management strategies of childhood profound sensorineural hearing loss in Latin America. BACKGROUND: CI has been widely established as cost effective in North America and Europe and is considered standard of care in those regions, yet cost effectiveness in other economic environments has not been explored. With 80% of the global hearing loss burden existing in low- and middle-income countries, developing cost effective management strategies in these settings is essential. This analysis represents the continuation of a global assessment of CI and deaf education cost effectiveness. METHODS: Brazil, Colombia, Ecuador, Guatemala, Paraguay, Trinidad and Tobago, and Venezuela participated in the study. A Disability Adjusted Life Years model was applied with 3% discounting and 10-year length of analysis. Experts from each country supplied cost estimates from known costs and published data. Sensitivity analysis was performed to evaluate the effect of device cost, professional salaries, annual number of implants, and probability of device failure. Cost effectiveness was determined using the World Health Organization standard of cost effectiveness ratio/gross domestic product per capita (CER/GDP)<3. RESULTS: Deaf education was very cost effective in all countries (CER/GDP 0.07-0.93). CI was cost effective in all countries (CER/GDP 0.69-2.96), with borderline cost effectiveness in the Guatemalan sensitivity analysis (Max CER/GDP 3.21). CONCLUSION: Both cochlear implantation and deaf education are widely cost effective in Latin America. In the lower-middle income economy of Guatemala, implant cost may have a larger impact. GDP is less influential in the middle- and high-income economies included in this study.",2016-99-22357,27518131,Otol Neurotol,Susan D Emmett,2016,37 / 8,1040-8,No,27518131,"Susan D Emmett; Debara L Tucci; Ricardo F Bento; Juan M Garcia; Solaiman Juman; Juan A Chiossone-Kerdel; Ta J Liu; Patricia Castellanos de Munoz; Alejandra Ullauri; Jose J Letort; Teresita Mansilla; Diana P Urquijo; Maria L Aparicio; Wenfeng Gong; Howard W Francis; James E Saunders; Moving Beyond GDP: Cost Effectiveness of Cochlear Implantation and Deaf Education in Latin America, Otol Neurotol, 2016 Sep; 37(8):1531-7129; 1040-8",DALY,Guatemala,Not Stated,"Health Education or Behavior, Medical Device, Medical Procedure",Cochlear implant vs. Deaf education,Not Stated,Not Stated,Not Stated,"Female, Male",Full,,3.00,3.00,154845,United States,2014,169283.88
29958,Moving Beyond GDP: Cost Effectiveness of Cochlear Implantation and Deaf Education in Latin America,"HYPOTHESIS: Cochlear implantation (CI) and deaf education are cost effective management strategies of childhood profound sensorineural hearing loss in Latin America. BACKGROUND: CI has been widely established as cost effective in North America and Europe and is considered standard of care in those regions, yet cost effectiveness in other economic environments has not been explored. With 80% of the global hearing loss burden existing in low- and middle-income countries, developing cost effective management strategies in these settings is essential. This analysis represents the continuation of a global assessment of CI and deaf education cost effectiveness. METHODS: Brazil, Colombia, Ecuador, Guatemala, Paraguay, Trinidad and Tobago, and Venezuela participated in the study. A Disability Adjusted Life Years model was applied with 3% discounting and 10-year length of analysis. Experts from each country supplied cost estimates from known costs and published data. Sensitivity analysis was performed to evaluate the effect of device cost, professional salaries, annual number of implants, and probability of device failure. Cost effectiveness was determined using the World Health Organization standard of cost effectiveness ratio/gross domestic product per capita (CER/GDP)<3. RESULTS: Deaf education was very cost effective in all countries (CER/GDP 0.07-0.93). CI was cost effective in all countries (CER/GDP 0.69-2.96), with borderline cost effectiveness in the Guatemalan sensitivity analysis (Max CER/GDP 3.21). CONCLUSION: Both cochlear implantation and deaf education are widely cost effective in Latin America. In the lower-middle income economy of Guatemala, implant cost may have a larger impact. GDP is less influential in the middle- and high-income economies included in this study.",2016-99-22357,27518131,Otol Neurotol,Susan D Emmett,2016,37 / 8,1040-8,No,27518131,"Susan D Emmett; Debara L Tucci; Ricardo F Bento; Juan M Garcia; Solaiman Juman; Juan A Chiossone-Kerdel; Ta J Liu; Patricia Castellanos de Munoz; Alejandra Ullauri; Jose J Letort; Teresita Mansilla; Diana P Urquijo; Maria L Aparicio; Wenfeng Gong; Howard W Francis; James E Saunders; Moving Beyond GDP: Cost Effectiveness of Cochlear Implantation and Deaf Education in Latin America, Otol Neurotol, 2016 Sep; 37(8):1531-7129; 1040-8",DALY,Guatemala,Not Stated,"Health Education or Behavior, Medical Device, Medical Procedure",Deaf education vs. None,Not Stated,Not Stated,Not Stated,"Female, Male",Full,,3.00,3.00,6198,United States,2014,6775.95
29959,Moving Beyond GDP: Cost Effectiveness of Cochlear Implantation and Deaf Education in Latin America,"HYPOTHESIS: Cochlear implantation (CI) and deaf education are cost effective management strategies of childhood profound sensorineural hearing loss in Latin America. BACKGROUND: CI has been widely established as cost effective in North America and Europe and is considered standard of care in those regions, yet cost effectiveness in other economic environments has not been explored. With 80% of the global hearing loss burden existing in low- and middle-income countries, developing cost effective management strategies in these settings is essential. This analysis represents the continuation of a global assessment of CI and deaf education cost effectiveness. METHODS: Brazil, Colombia, Ecuador, Guatemala, Paraguay, Trinidad and Tobago, and Venezuela participated in the study. A Disability Adjusted Life Years model was applied with 3% discounting and 10-year length of analysis. Experts from each country supplied cost estimates from known costs and published data. Sensitivity analysis was performed to evaluate the effect of device cost, professional salaries, annual number of implants, and probability of device failure. Cost effectiveness was determined using the World Health Organization standard of cost effectiveness ratio/gross domestic product per capita (CER/GDP)<3. RESULTS: Deaf education was very cost effective in all countries (CER/GDP 0.07-0.93). CI was cost effective in all countries (CER/GDP 0.69-2.96), with borderline cost effectiveness in the Guatemalan sensitivity analysis (Max CER/GDP 3.21). CONCLUSION: Both cochlear implantation and deaf education are widely cost effective in Latin America. In the lower-middle income economy of Guatemala, implant cost may have a larger impact. GDP is less influential in the middle- and high-income economies included in this study.",2016-99-22357,27518131,Otol Neurotol,Susan D Emmett,2016,37 / 8,1040-8,No,27518131,"Susan D Emmett; Debara L Tucci; Ricardo F Bento; Juan M Garcia; Solaiman Juman; Juan A Chiossone-Kerdel; Ta J Liu; Patricia Castellanos de Munoz; Alejandra Ullauri; Jose J Letort; Teresita Mansilla; Diana P Urquijo; Maria L Aparicio; Wenfeng Gong; Howard W Francis; James E Saunders; Moving Beyond GDP: Cost Effectiveness of Cochlear Implantation and Deaf Education in Latin America, Otol Neurotol, 2016 Sep; 37(8):1531-7129; 1040-8",DALY,Paraguay,Not Stated,"Health Education or Behavior, Medical Device, Medical Procedure",Cochlear implant vs. Deaf education,Not Stated,Not Stated,Not Stated,"Female, Male",Full,,3.00,3.00,112099,United States,2014,122551.93
29960,Moving Beyond GDP: Cost Effectiveness of Cochlear Implantation and Deaf Education in Latin America,"HYPOTHESIS: Cochlear implantation (CI) and deaf education are cost effective management strategies of childhood profound sensorineural hearing loss in Latin America. BACKGROUND: CI has been widely established as cost effective in North America and Europe and is considered standard of care in those regions, yet cost effectiveness in other economic environments has not been explored. With 80% of the global hearing loss burden existing in low- and middle-income countries, developing cost effective management strategies in these settings is essential. This analysis represents the continuation of a global assessment of CI and deaf education cost effectiveness. METHODS: Brazil, Colombia, Ecuador, Guatemala, Paraguay, Trinidad and Tobago, and Venezuela participated in the study. A Disability Adjusted Life Years model was applied with 3% discounting and 10-year length of analysis. Experts from each country supplied cost estimates from known costs and published data. Sensitivity analysis was performed to evaluate the effect of device cost, professional salaries, annual number of implants, and probability of device failure. Cost effectiveness was determined using the World Health Organization standard of cost effectiveness ratio/gross domestic product per capita (CER/GDP)<3. RESULTS: Deaf education was very cost effective in all countries (CER/GDP 0.07-0.93). CI was cost effective in all countries (CER/GDP 0.69-2.96), with borderline cost effectiveness in the Guatemalan sensitivity analysis (Max CER/GDP 3.21). CONCLUSION: Both cochlear implantation and deaf education are widely cost effective in Latin America. In the lower-middle income economy of Guatemala, implant cost may have a larger impact. GDP is less influential in the middle- and high-income economies included in this study.",2016-99-22357,27518131,Otol Neurotol,Susan D Emmett,2016,37 / 8,1040-8,No,27518131,"Susan D Emmett; Debara L Tucci; Ricardo F Bento; Juan M Garcia; Solaiman Juman; Juan A Chiossone-Kerdel; Ta J Liu; Patricia Castellanos de Munoz; Alejandra Ullauri; Jose J Letort; Teresita Mansilla; Diana P Urquijo; Maria L Aparicio; Wenfeng Gong; Howard W Francis; James E Saunders; Moving Beyond GDP: Cost Effectiveness of Cochlear Implantation and Deaf Education in Latin America, Otol Neurotol, 2016 Sep; 37(8):1531-7129; 1040-8",DALY,Paraguay,Not Stated,"Health Education or Behavior, Medical Device, Medical Procedure",Deaf education vs. None,Not Stated,Not Stated,Not Stated,"Female, Male",Full,,3.00,3.00,5678,United States,2014,6207.46
29961,Moving Beyond GDP: Cost Effectiveness of Cochlear Implantation and Deaf Education in Latin America,"HYPOTHESIS: Cochlear implantation (CI) and deaf education are cost effective management strategies of childhood profound sensorineural hearing loss in Latin America. BACKGROUND: CI has been widely established as cost effective in North America and Europe and is considered standard of care in those regions, yet cost effectiveness in other economic environments has not been explored. With 80% of the global hearing loss burden existing in low- and middle-income countries, developing cost effective management strategies in these settings is essential. This analysis represents the continuation of a global assessment of CI and deaf education cost effectiveness. METHODS: Brazil, Colombia, Ecuador, Guatemala, Paraguay, Trinidad and Tobago, and Venezuela participated in the study. A Disability Adjusted Life Years model was applied with 3% discounting and 10-year length of analysis. Experts from each country supplied cost estimates from known costs and published data. Sensitivity analysis was performed to evaluate the effect of device cost, professional salaries, annual number of implants, and probability of device failure. Cost effectiveness was determined using the World Health Organization standard of cost effectiveness ratio/gross domestic product per capita (CER/GDP)<3. RESULTS: Deaf education was very cost effective in all countries (CER/GDP 0.07-0.93). CI was cost effective in all countries (CER/GDP 0.69-2.96), with borderline cost effectiveness in the Guatemalan sensitivity analysis (Max CER/GDP 3.21). CONCLUSION: Both cochlear implantation and deaf education are widely cost effective in Latin America. In the lower-middle income economy of Guatemala, implant cost may have a larger impact. GDP is less influential in the middle- and high-income economies included in this study.",2016-99-22357,27518131,Otol Neurotol,Susan D Emmett,2016,37 / 8,1040-8,No,27518131,"Susan D Emmett; Debara L Tucci; Ricardo F Bento; Juan M Garcia; Solaiman Juman; Juan A Chiossone-Kerdel; Ta J Liu; Patricia Castellanos de Munoz; Alejandra Ullauri; Jose J Letort; Teresita Mansilla; Diana P Urquijo; Maria L Aparicio; Wenfeng Gong; Howard W Francis; James E Saunders; Moving Beyond GDP: Cost Effectiveness of Cochlear Implantation and Deaf Education in Latin America, Otol Neurotol, 2016 Sep; 37(8):1531-7129; 1040-8",DALY,Trinidad and Tobago,Not Stated,"Health Education or Behavior, Medical Device, Medical Procedure",Cochlear implants vs. Deaf education,Not Stated,Not Stated,Not Stated,"Female, Male",Full,,3.00,3.00,32683,United States,2014,35730.6
29962,Moving Beyond GDP: Cost Effectiveness of Cochlear Implantation and Deaf Education in Latin America,"HYPOTHESIS: Cochlear implantation (CI) and deaf education are cost effective management strategies of childhood profound sensorineural hearing loss in Latin America. BACKGROUND: CI has been widely established as cost effective in North America and Europe and is considered standard of care in those regions, yet cost effectiveness in other economic environments has not been explored. With 80% of the global hearing loss burden existing in low- and middle-income countries, developing cost effective management strategies in these settings is essential. This analysis represents the continuation of a global assessment of CI and deaf education cost effectiveness. METHODS: Brazil, Colombia, Ecuador, Guatemala, Paraguay, Trinidad and Tobago, and Venezuela participated in the study. A Disability Adjusted Life Years model was applied with 3% discounting and 10-year length of analysis. Experts from each country supplied cost estimates from known costs and published data. Sensitivity analysis was performed to evaluate the effect of device cost, professional salaries, annual number of implants, and probability of device failure. Cost effectiveness was determined using the World Health Organization standard of cost effectiveness ratio/gross domestic product per capita (CER/GDP)<3. RESULTS: Deaf education was very cost effective in all countries (CER/GDP 0.07-0.93). CI was cost effective in all countries (CER/GDP 0.69-2.96), with borderline cost effectiveness in the Guatemalan sensitivity analysis (Max CER/GDP 3.21). CONCLUSION: Both cochlear implantation and deaf education are widely cost effective in Latin America. In the lower-middle income economy of Guatemala, implant cost may have a larger impact. GDP is less influential in the middle- and high-income economies included in this study.",2016-99-22357,27518131,Otol Neurotol,Susan D Emmett,2016,37 / 8,1040-8,No,27518131,"Susan D Emmett; Debara L Tucci; Ricardo F Bento; Juan M Garcia; Solaiman Juman; Juan A Chiossone-Kerdel; Ta J Liu; Patricia Castellanos de Munoz; Alejandra Ullauri; Jose J Letort; Teresita Mansilla; Diana P Urquijo; Maria L Aparicio; Wenfeng Gong; Howard W Francis; James E Saunders; Moving Beyond GDP: Cost Effectiveness of Cochlear Implantation and Deaf Education in Latin America, Otol Neurotol, 2016 Sep; 37(8):1531-7129; 1040-8",DALY,Trinidad and Tobago,Not Stated,"Health Education or Behavior, Medical Device, Medical Procedure",Deaf education vs. None,Not Stated,Not Stated,Not Stated,"Female, Male",Full,,3.00,3.00,28045,United States,2014,30660.12
29963,Moving Beyond GDP: Cost Effectiveness of Cochlear Implantation and Deaf Education in Latin America,"HYPOTHESIS: Cochlear implantation (CI) and deaf education are cost effective management strategies of childhood profound sensorineural hearing loss in Latin America. BACKGROUND: CI has been widely established as cost effective in North America and Europe and is considered standard of care in those regions, yet cost effectiveness in other economic environments has not been explored. With 80% of the global hearing loss burden existing in low- and middle-income countries, developing cost effective management strategies in these settings is essential. This analysis represents the continuation of a global assessment of CI and deaf education cost effectiveness. METHODS: Brazil, Colombia, Ecuador, Guatemala, Paraguay, Trinidad and Tobago, and Venezuela participated in the study. A Disability Adjusted Life Years model was applied with 3% discounting and 10-year length of analysis. Experts from each country supplied cost estimates from known costs and published data. Sensitivity analysis was performed to evaluate the effect of device cost, professional salaries, annual number of implants, and probability of device failure. Cost effectiveness was determined using the World Health Organization standard of cost effectiveness ratio/gross domestic product per capita (CER/GDP)<3. RESULTS: Deaf education was very cost effective in all countries (CER/GDP 0.07-0.93). CI was cost effective in all countries (CER/GDP 0.69-2.96), with borderline cost effectiveness in the Guatemalan sensitivity analysis (Max CER/GDP 3.21). CONCLUSION: Both cochlear implantation and deaf education are widely cost effective in Latin America. In the lower-middle income economy of Guatemala, implant cost may have a larger impact. GDP is less influential in the middle- and high-income economies included in this study.",2016-99-22357,27518131,Otol Neurotol,Susan D Emmett,2016,37 / 8,1040-8,No,27518131,"Susan D Emmett; Debara L Tucci; Ricardo F Bento; Juan M Garcia; Solaiman Juman; Juan A Chiossone-Kerdel; Ta J Liu; Patricia Castellanos de Munoz; Alejandra Ullauri; Jose J Letort; Teresita Mansilla; Diana P Urquijo; Maria L Aparicio; Wenfeng Gong; Howard W Francis; James E Saunders; Moving Beyond GDP: Cost Effectiveness of Cochlear Implantation and Deaf Education in Latin America, Otol Neurotol, 2016 Sep; 37(8):1531-7129; 1040-8",DALY,Venezuela,Not Stated,"Health Education or Behavior, Medical Device, Medical Procedure",Cochlear implants vs. Deaf education,Not Stated,Not Stated,Not Stated,"Female, Male",Full,,3.00,3.00,235408,United States,2014,257359.17
29964,Moving Beyond GDP: Cost Effectiveness of Cochlear Implantation and Deaf Education in Latin America,"HYPOTHESIS: Cochlear implantation (CI) and deaf education are cost effective management strategies of childhood profound sensorineural hearing loss in Latin America. BACKGROUND: CI has been widely established as cost effective in North America and Europe and is considered standard of care in those regions, yet cost effectiveness in other economic environments has not been explored. With 80% of the global hearing loss burden existing in low- and middle-income countries, developing cost effective management strategies in these settings is essential. This analysis represents the continuation of a global assessment of CI and deaf education cost effectiveness. METHODS: Brazil, Colombia, Ecuador, Guatemala, Paraguay, Trinidad and Tobago, and Venezuela participated in the study. A Disability Adjusted Life Years model was applied with 3% discounting and 10-year length of analysis. Experts from each country supplied cost estimates from known costs and published data. Sensitivity analysis was performed to evaluate the effect of device cost, professional salaries, annual number of implants, and probability of device failure. Cost effectiveness was determined using the World Health Organization standard of cost effectiveness ratio/gross domestic product per capita (CER/GDP)<3. RESULTS: Deaf education was very cost effective in all countries (CER/GDP 0.07-0.93). CI was cost effective in all countries (CER/GDP 0.69-2.96), with borderline cost effectiveness in the Guatemalan sensitivity analysis (Max CER/GDP 3.21). CONCLUSION: Both cochlear implantation and deaf education are widely cost effective in Latin America. In the lower-middle income economy of Guatemala, implant cost may have a larger impact. GDP is less influential in the middle- and high-income economies included in this study.",2016-99-22357,27518131,Otol Neurotol,Susan D Emmett,2016,37 / 8,1040-8,No,27518131,"Susan D Emmett; Debara L Tucci; Ricardo F Bento; Juan M Garcia; Solaiman Juman; Juan A Chiossone-Kerdel; Ta J Liu; Patricia Castellanos de Munoz; Alejandra Ullauri; Jose J Letort; Teresita Mansilla; Diana P Urquijo; Maria L Aparicio; Wenfeng Gong; Howard W Francis; James E Saunders; Moving Beyond GDP: Cost Effectiveness of Cochlear Implantation and Deaf Education in Latin America, Otol Neurotol, 2016 Sep; 37(8):1531-7129; 1040-8",DALY,Venezuela,Not Stated,"Health Education or Behavior, Medical Device, Medical Procedure",Deaf education vs. None,Not Stated,Not Stated,Not Stated,"Female, Male",Full,,3.00,3.00,6198,United States,2014,6775.95
29965,A Cost-Effectiveness Tool to Guide the Prioritization of Interventions for Rheumatic Fever and Rheumatic Heart Disease Control in African Nations,"BACKGROUND: Rheumatic heart disease (RHD) prevalence and mortality rates remain especially high in many parts of Africa. While effective prevention and treatment exist, coverage rates of the various interventions are low. Little is known about the comparative cost-effectiveness of different RHD interventions in limited resource settings. We developed an economic evaluation tool to assist ministries of health in allocating resources and planning RHD control programs. METHODOLOGY/PRINCIPAL FINDINGS: We constructed a Markov model of the natural history of acute rheumatic fever (ARF) and RHD, taking transition probabilities and intervention effectiveness data from previously published studies and expert opinion. Our model estimates the incremental cost-effectiveness of scaling up coverage of primary prevention (PP), secondary prevention (SP) and heart valve surgery (VS) interventions for RHD. We take a healthcare system perspective on costs and measure outcomes as disability-adjusted life-years (DALYs), discounting both at 3%. Univariate and probabilistic sensitivity analyses are also built into the modeling tool. We illustrate the use of this model in a hypothetical low-income African country, drawing on available disease burden and cost data. We found that, in our hypothetical country, PP would be cost saving and SP would be very cost-effective. International referral for VS (e.g., to a country like India that has existing surgical capacity) would be cost-effective, but building in-country VS services would not be cost-effective at typical low-income country thresholds. CONCLUSIONS/SIGNIFICANCE: Our cost-effectiveness analysis tool is designed to inform priorities for ARF/RHD control programs in Africa at the national or subnational level. In contrast to previous literature, our preliminary findings suggest PP could be the most efficient and cheapest approach in poor countries. We provide our model for public use in the form of a Supplementary File. Our research has immediate policy relevance and calls for renewed efforts to scale up RHD prevention.",2016-99-22369,27512994,PLoS Negl Trop Dis,David Watkins,2016,10 / 8,e0004860,No,27512994,"David Watkins; Solomon J Lubinga; Bongani Mayosi; Joseph B Babigumira; A Cost-Effectiveness Tool to Guide the Prioritization of Interventions for Rheumatic Fever and Rheumatic Heart Disease Control in African Nations, PLoS Negl Trop Dis, 2016 Aug; 10(8):1935-2735; e0004860",DALY,Not Stated,Not Stated,Care Delivery,Scaling up primary prevention (PP) services: improving treatment of pharyngitis in primary care settings. vs. Standard/Usual Care,Not Stated,Not Stated,19 Years,"Female, Male",Full,,3.00,3.00,2539.01,United States,2010,3013.55
