index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
22156,Cost-Effectiveness of Therapeutic Use of Safety-Engineered Syringes in Healthcare Facilities in India,"BACKGROUND: Globally, 16 billion injections are administered each year of which 95% are for curative care. India contributes 25-30% of the global injection load. Over 63% of these injections are reportedly unsafe or deemed unnecessary. OBJECTIVES: To assess the incremental cost per quality-adjusted life-year (QALY) gained with the introduction of safety-engineered syringes (SES) as compared to disposable syringes for therapeutic care in India. METHODS: A decision tree was used to compute the volume of needle-stick injuries (NSIs) and reuse episodes among healthcare professionals and the patient population. Subsequently, three separate Markov models were used to compute lifetime costs and QALYs for individuals infected with hepatitis B virus (HBV), hepatitis C virus (HCV) and human immunodeficiency virus (HIV). Three SES were evaluated-reuse prevention syringe (RUP), sharp injury prevention (SIP) syringe, and syringes with features of both RUP and SIP. A lifetime study horizon starting from a base year of 2017 was considered appropriate to cover all costs and consequences comprehensively. A systematic review was undertaken to assess the SES effects in terms of reduction in NSIs and reuse episodes. These were then modelled in terms of reduction in transmission of blood-borne infections, life-years and QALYs gained. Future costs and consequences were discounted at the rate of 3%. Incremental cost per QALY gained was computed to assess the cost-effectiveness. A probabilistic sensitivity analysis was undertaken to account for parameter uncertainties. RESULTS: The introduction of RUP, SIP and RUP + SIP syringes in India is estimated to incur an incremental cost of Indian National Rupee (INR) 61,028 (US$939), INR 7,768,215 (US$119,511) and INR 196,135 (US$3017) per QALY gained, respectively. A total of 96,296 HBV, 44,082 HCV and 5632 HIV deaths are estimated to be averted due to RUP in 20 years. RUP has an 84% probability to be cost-effective at a threshold of per capita gross domestic product (GDP). The RUP syringe can become cost saving at a unit price of INR 1.9. Similarly, SIP and RUP + SIP syringes can be cost-effective at a unit price of less than INR 1.2 and INR 5.9, respectively. CONCLUSION: RUP syringes are estimated to be cost-effective in the Indian context. SIP and RUP + SIP syringes are not cost-effective at the current unit prices. Efforts should be made to bring down the price of SES to improve its cost-effectiveness.",2019-01-31324,31741306,Appl Health Econ Health Policy,Pankaj Bahuguna,2019,/,,Yes,31741306,"Pankaj Bahuguna; Sarah Mills; Deans Buchanan; Bruce Guthrie; Peter Donnan; Blair Smith; Cost-Effectiveness of Therapeutic Use of Safety-Engineered Syringes in Healthcare Facilities in India, Appl Health Econ Health Policy, 2019 Jun 28; ():1179-1896",QALY,India,Not Stated,Medical Device,reuse prevention syringes + sharp injury prevention syringes vs. Standard/Usual Care- Disposable Syringes,Not Stated,Not Stated,Not Stated,"Female, Male",Full,Lifetime,3.00,3.00,262359.77,India,2017,4257.42
22157,Cost-effectiveness of pembrolizumab versus chemotherapy as first-line treatment in PD-L1-positive advanced non-small-cell lung cancer in the USA,"Aim: This analysis aimed to evaluate the cost-effectiveness of pembrolizumab monotherapy as first-line treatment in advanced non-small-cell lung cancer patients with a programmed death ligand 1 (PD-L1) tumor proportion score >/=1% from a US payer perspective. Materials & methods: A partitioned survival model was developed using efficacy and safety data from the KEYNOTE-042 trial and projected over 20 years. Costs accounted for treatment, toxicity and disease management. Quality-adjusted life-years (QALYs) and incremental cost-effectiveness ratios were reported. Results: Pembrolizumab resulted in an expected gain of 0.60 life years and 0.49 QALYs compared with platinum-based chemotherapy. The incremental cost-effectiveness ratio was US$130,155/QALY. Conclusion: Pembrolizumab is projected to be cost-effective compared with platinum-based chemotherapy as first-line treatment for advanced non-small-cell lung cancer with PD-L1 tumor proportion score >/=1%.",2019-01-31332,31738117,Immunotherapy,Min Huang,2019,11 / 17,1463-1478,No,31738117,"Min Huang; Heidi S Harvie; Cindy L Amundsen; Simon J Neuwahl; Amanda A Honeycutt; Emily S Lukacz; Vivian W Sung; Rebecca G Rogers; David Ellington; Cecile A Ferrando; Christopher J Chermansky; Donna Mazloomdoost; Sonia Thomas; NICHD Pelvic Floor Disorders Net; Cost-effectiveness of pembrolizumab versus chemotherapy as first-line treatment in PD-L1-positive advanced non-small-cell lung cancer in the USA, Immunotherapy, 2019 Dec; 11(17):1750-7448; 1463-1478",QALY,United States of America,Not Stated,"Medical Procedure, Pharmaceutical",pembrolizumab vs. Standard/Usual Care- Platinum-based chemotherapies,Not Stated,Not Stated,18 Years,"Female, Male",Full,20 Years,3.00,3.00,130155,United States,2019,131760.7
22158,Cost-Effectiveness of Sacral Neuromodulation versus OnabotulinumtoxinA for Refractory Urgency Urinary Incontinence: Results of the ROSETTA Randomized Trial,"PURPOSE: Sacral neuromodulation and intradetrusor injection of onabotulinumtoxinA are therapies for refractory urgency-urinary incontinence. Sacral neuromodulation involves surgical implant of a device that can last 4-6 years, while onabotulinumtoxinA involves serial office injections. Objective was to assess cost-effectiveness of 2-stage implantation sacral neuromodulation versus 200 units onabotulinumtoxinA for the treatment of urgency-urinary incontinence. MATERIAL AND METHODS: Prospective economic evaluation concurrent with Refractory Overactive Bladder: Sacral NEuromodulation v. BoTulinum Toxin Assessment (ROSETTA) randomized trial of 386 women with >/= 6 urgency-urinary-incontinence episodes in 3-day diary. Analysis from healthcare system perspective, with primary within-trial analysis for 2 years and secondary 5-year decision analysis. Costs in 2018 U.S. dollars. Effectiveness measured in quality-adjusted life-years (QALYs) and reductions in urgency-urinary-incontinence episodes/day. Generated incremental cost-effectiveness ratios and cost-effectiveness acceptability curves. RESULTS: Two-year costs were higher for sacral neuromodulation versus onabotulinumtoxinA ($35,680 [95%CI $33,920-$37,440] versus $7,460 [95%CI $5,780-$9,150], p<0.01), persisting through 5 years ($36,550 [95%CI $34,787-$38,309] versus $12,020 [95%CI $10,330-$13,700], p<0.01). At 2 years, there were no differences in mean reduction in urgency-urinary-incontinence episodes/day (-3.00 [95%CI -3.38 - -2.62] versus -3.12 [95%CI -3.48 - -2.76], p=0.66) or QALYs (1.39 [95%CI 1.34-1.44] versus 1.41 [95%CI 1.36-1.45], p=0.60). The probability that sacral neuromodulation is cost effective relative to onabotulinumtoxinA is less than 0.025 for all willingness-to-pay values below $580,000/QALY at 2 years and $204,000/QALY at 5 years. CONCLUSIONS: Although both treatments were effective, the high cost of sacral neuromodulation is not good value for treating urgency-urinary incontinence compared with 200 units onabotulinumtoxinA.",2019-01-31333,31738113,J Urol,Heidi S Harvie,2019,/,101097JU0000000000000656,No,31738113,"Heidi S Harvie; Han Joo Choi; Hyung Jun Moon; Won Jung Jeong; Gi Woon Kim; Jae Hyug Woo; Kyoung Mi Lee; Hyuk Joong Choi; Yong Jin Park; Choung Ah Lee; Cost-Effectiveness of Sacral Neuromodulation versus OnabotulinumtoxinA for Refractory Urgency Urinary Incontinence: Results of the ROSETTA Randomized Trial, J Urol, 2019 May 21; ():0022-5347; 101097JU0000000000000656",QALY,United States of America,Not Stated,"Medical Device, Surgical",2-stage implantation sacral neuromodulation vs. 200 units onabotulinumtoxin A,Not Stated,75 Years,51 Years,Female,Full,2 Years,3.00,3.00,-1411000,United States,2018,-1454289.69
22159,Cost-Effectiveness of Treating Early to Moderate Stage Knee Osteoarthritis with Intra-articular Hyaluronic Acid Compared to Conservative Interventions,"INTRODUCTION: Evidence has demonstrated greater benefit of intra-articular hyaluronic acid (IA-HA) within earlier stages of knee osteoarthritis (OA) rather than waiting for patients to have progressed to later stages of disease progression. High molecular weight (HMW) HA has also been shown to be more effective than low molecular weight (LMW) HA products in mild to moderate knee OA, providing an important distinction to make within the class of IA-HA therapies. The purpose of this study is to evaluate the cost-effectiveness of treating patients with knee OA with HMW HA compared to LMW and conservative treatment, while taking into account disease stage. METHODS: Decision analytic models were created for early/moderate, as well as late stage knee OA. Models for late stage knee OA were created by assuming a range of response rates to IA-HA treatments from 10% to 50%. These models included conservative treatment using physical therapy/exercise, braces/orthosis, and medications such as non-steroidal anti-inflammatory drugs (NSAIDs) and analgesics. The models compared the cost per quality adjusted life year (QALY) gained for these treatments to the use of either LMW or HMW HA. Incremental cost-effectiveness ratios (ICERs) were calculated for each treatment in relation to HMW HA. RESULTS: When evaluating treatment in early to moderate knee OA, HMW HA was dominant over LMW HA and physical therapy/exercise, as it was less expensive and provided greater benefit. HMW HA was cost-effective versus braces/orthosis and NSAID/analgesic medications based on a willingness to pay threshold of $50,000. In the model of 50% response rate to IA-HA for late stage OA, HMW HA remained cost-effective in comparison to physical therapy/exercise and braces/orthosis at a willingness to pay threshold of $50,000; but not NSAID/analgesic medications. In the worst-case scenario of a 10% responder rate to IA-HA, HMW HA was no longer cost-effective in any circumstance. CONCLUSION: IA-HA, particularly HMW formulations, demonstrate cost-effectiveness when compared to conservative treatment options and LMW HA in patients with early/mid stage knee OA. The cost-effectiveness of HMW HA in patients with later stage knee OA was not as apparent, particularly because of the uncertainty in the proportion of patients with late stage OA who have a meaningful improvement after receiving IA-HA. This cost-effectiveness finding supports the use of IA-HA in patients with early and moderate knee OA, as the benefits of IA-HA are apparent within the patient population with mild to moderate knee OA. The findings of this study suggest that there is a potential cost savings benefit as a result of utilizing HMW HA in earlier stages of knee OA as opposed to later stages. FUNDING: Ferring Pharmaceuticals Inc.",2019-01-31336,31735982,Adv Ther,Jeffrey Rosen,2019,/,,No,31735982,"Jeffrey Rosen; Shinya Tsuzuki; Marc Baguelin; Richard Pebody; Edwin van Leeuwen; Cost-Effectiveness of Treating Early to Moderate Stage Knee Osteoarthritis with Intra-articular Hyaluronic Acid Compared to Conservative Interventions, Adv Ther, 2019 Jun 20; ():0741-238X",QALY,United States of America,Not Stated,Pharmaceutical,high molecular weight intra-articular injections with hyaluronic acid vs. low molecular weight hyaluronic acid,Early to Moderate Stage Knee Osteoarthritis,Not Stated,Not Stated,"Female, Male",Full,6 Months,Not Stated,Not Stated,-2931.03,United States,2017,-3094.75
22160,Cost-Effectiveness of Treating Early to Moderate Stage Knee Osteoarthritis with Intra-articular Hyaluronic Acid Compared to Conservative Interventions,"INTRODUCTION: Evidence has demonstrated greater benefit of intra-articular hyaluronic acid (IA-HA) within earlier stages of knee osteoarthritis (OA) rather than waiting for patients to have progressed to later stages of disease progression. High molecular weight (HMW) HA has also been shown to be more effective than low molecular weight (LMW) HA products in mild to moderate knee OA, providing an important distinction to make within the class of IA-HA therapies. The purpose of this study is to evaluate the cost-effectiveness of treating patients with knee OA with HMW HA compared to LMW and conservative treatment, while taking into account disease stage. METHODS: Decision analytic models were created for early/moderate, as well as late stage knee OA. Models for late stage knee OA were created by assuming a range of response rates to IA-HA treatments from 10% to 50%. These models included conservative treatment using physical therapy/exercise, braces/orthosis, and medications such as non-steroidal anti-inflammatory drugs (NSAIDs) and analgesics. The models compared the cost per quality adjusted life year (QALY) gained for these treatments to the use of either LMW or HMW HA. Incremental cost-effectiveness ratios (ICERs) were calculated for each treatment in relation to HMW HA. RESULTS: When evaluating treatment in early to moderate knee OA, HMW HA was dominant over LMW HA and physical therapy/exercise, as it was less expensive and provided greater benefit. HMW HA was cost-effective versus braces/orthosis and NSAID/analgesic medications based on a willingness to pay threshold of $50,000. In the model of 50% response rate to IA-HA for late stage OA, HMW HA remained cost-effective in comparison to physical therapy/exercise and braces/orthosis at a willingness to pay threshold of $50,000; but not NSAID/analgesic medications. In the worst-case scenario of a 10% responder rate to IA-HA, HMW HA was no longer cost-effective in any circumstance. CONCLUSION: IA-HA, particularly HMW formulations, demonstrate cost-effectiveness when compared to conservative treatment options and LMW HA in patients with early/mid stage knee OA. The cost-effectiveness of HMW HA in patients with later stage knee OA was not as apparent, particularly because of the uncertainty in the proportion of patients with late stage OA who have a meaningful improvement after receiving IA-HA. This cost-effectiveness finding supports the use of IA-HA in patients with early and moderate knee OA, as the benefits of IA-HA are apparent within the patient population with mild to moderate knee OA. The findings of this study suggest that there is a potential cost savings benefit as a result of utilizing HMW HA in earlier stages of knee OA as opposed to later stages. FUNDING: Ferring Pharmaceuticals Inc.",2019-01-31336,31735982,Adv Ther,Jeffrey Rosen,2019,/,,No,31735982,"Jeffrey Rosen; Shinya Tsuzuki; Marc Baguelin; Richard Pebody; Edwin van Leeuwen; Cost-Effectiveness of Treating Early to Moderate Stage Knee Osteoarthritis with Intra-articular Hyaluronic Acid Compared to Conservative Interventions, Adv Ther, 2019 Jun 20; ():0741-238X",QALY,United States of America,Not Stated,Pharmaceutical,high molecular weight intra-articular injections with hyaluronic acid vs. Standard/Usual Care- Physical therapy + exercise,Early to Moderate Stage Knee Osteoarthritis,Not Stated,Not Stated,"Female, Male",Full,6 Months,Not Stated,Not Stated,-20928.57,United States,2017,-22097.52
22161,Cost-Effectiveness of Treating Early to Moderate Stage Knee Osteoarthritis with Intra-articular Hyaluronic Acid Compared to Conservative Interventions,"INTRODUCTION: Evidence has demonstrated greater benefit of intra-articular hyaluronic acid (IA-HA) within earlier stages of knee osteoarthritis (OA) rather than waiting for patients to have progressed to later stages of disease progression. High molecular weight (HMW) HA has also been shown to be more effective than low molecular weight (LMW) HA products in mild to moderate knee OA, providing an important distinction to make within the class of IA-HA therapies. The purpose of this study is to evaluate the cost-effectiveness of treating patients with knee OA with HMW HA compared to LMW and conservative treatment, while taking into account disease stage. METHODS: Decision analytic models were created for early/moderate, as well as late stage knee OA. Models for late stage knee OA were created by assuming a range of response rates to IA-HA treatments from 10% to 50%. These models included conservative treatment using physical therapy/exercise, braces/orthosis, and medications such as non-steroidal anti-inflammatory drugs (NSAIDs) and analgesics. The models compared the cost per quality adjusted life year (QALY) gained for these treatments to the use of either LMW or HMW HA. Incremental cost-effectiveness ratios (ICERs) were calculated for each treatment in relation to HMW HA. RESULTS: When evaluating treatment in early to moderate knee OA, HMW HA was dominant over LMW HA and physical therapy/exercise, as it was less expensive and provided greater benefit. HMW HA was cost-effective versus braces/orthosis and NSAID/analgesic medications based on a willingness to pay threshold of $50,000. In the model of 50% response rate to IA-HA for late stage OA, HMW HA remained cost-effective in comparison to physical therapy/exercise and braces/orthosis at a willingness to pay threshold of $50,000; but not NSAID/analgesic medications. In the worst-case scenario of a 10% responder rate to IA-HA, HMW HA was no longer cost-effective in any circumstance. CONCLUSION: IA-HA, particularly HMW formulations, demonstrate cost-effectiveness when compared to conservative treatment options and LMW HA in patients with early/mid stage knee OA. The cost-effectiveness of HMW HA in patients with later stage knee OA was not as apparent, particularly because of the uncertainty in the proportion of patients with late stage OA who have a meaningful improvement after receiving IA-HA. This cost-effectiveness finding supports the use of IA-HA in patients with early and moderate knee OA, as the benefits of IA-HA are apparent within the patient population with mild to moderate knee OA. The findings of this study suggest that there is a potential cost savings benefit as a result of utilizing HMW HA in earlier stages of knee OA as opposed to later stages. FUNDING: Ferring Pharmaceuticals Inc.",2019-01-31336,31735982,Adv Ther,Jeffrey Rosen,2019,/,,No,31735982,"Jeffrey Rosen; Shinya Tsuzuki; Marc Baguelin; Richard Pebody; Edwin van Leeuwen; Cost-Effectiveness of Treating Early to Moderate Stage Knee Osteoarthritis with Intra-articular Hyaluronic Acid Compared to Conservative Interventions, Adv Ther, 2019 Jun 20; ():0741-238X",QALY,United States of America,Not Stated,Pharmaceutical,high molecular weight intra-articular injections with hyaluronic acid vs. Standard/Usual Care- Braces and orthoses,Early to Moderate Stage Knee Osteoarthritis,Not Stated,Not Stated,"Female, Male",Full,6 Months,Not Stated,Not Stated,7157.89,United States,2017,7557.69
22162,Cost-Effectiveness of Treating Early to Moderate Stage Knee Osteoarthritis with Intra-articular Hyaluronic Acid Compared to Conservative Interventions,"INTRODUCTION: Evidence has demonstrated greater benefit of intra-articular hyaluronic acid (IA-HA) within earlier stages of knee osteoarthritis (OA) rather than waiting for patients to have progressed to later stages of disease progression. High molecular weight (HMW) HA has also been shown to be more effective than low molecular weight (LMW) HA products in mild to moderate knee OA, providing an important distinction to make within the class of IA-HA therapies. The purpose of this study is to evaluate the cost-effectiveness of treating patients with knee OA with HMW HA compared to LMW and conservative treatment, while taking into account disease stage. METHODS: Decision analytic models were created for early/moderate, as well as late stage knee OA. Models for late stage knee OA were created by assuming a range of response rates to IA-HA treatments from 10% to 50%. These models included conservative treatment using physical therapy/exercise, braces/orthosis, and medications such as non-steroidal anti-inflammatory drugs (NSAIDs) and analgesics. The models compared the cost per quality adjusted life year (QALY) gained for these treatments to the use of either LMW or HMW HA. Incremental cost-effectiveness ratios (ICERs) were calculated for each treatment in relation to HMW HA. RESULTS: When evaluating treatment in early to moderate knee OA, HMW HA was dominant over LMW HA and physical therapy/exercise, as it was less expensive and provided greater benefit. HMW HA was cost-effective versus braces/orthosis and NSAID/analgesic medications based on a willingness to pay threshold of $50,000. In the model of 50% response rate to IA-HA for late stage OA, HMW HA remained cost-effective in comparison to physical therapy/exercise and braces/orthosis at a willingness to pay threshold of $50,000; but not NSAID/analgesic medications. In the worst-case scenario of a 10% responder rate to IA-HA, HMW HA was no longer cost-effective in any circumstance. CONCLUSION: IA-HA, particularly HMW formulations, demonstrate cost-effectiveness when compared to conservative treatment options and LMW HA in patients with early/mid stage knee OA. The cost-effectiveness of HMW HA in patients with later stage knee OA was not as apparent, particularly because of the uncertainty in the proportion of patients with late stage OA who have a meaningful improvement after receiving IA-HA. This cost-effectiveness finding supports the use of IA-HA in patients with early and moderate knee OA, as the benefits of IA-HA are apparent within the patient population with mild to moderate knee OA. The findings of this study suggest that there is a potential cost savings benefit as a result of utilizing HMW HA in earlier stages of knee OA as opposed to later stages. FUNDING: Ferring Pharmaceuticals Inc.",2019-01-31336,31735982,Adv Ther,Jeffrey Rosen,2019,/,,No,31735982,"Jeffrey Rosen; Shinya Tsuzuki; Marc Baguelin; Richard Pebody; Edwin van Leeuwen; Cost-Effectiveness of Treating Early to Moderate Stage Knee Osteoarthritis with Intra-articular Hyaluronic Acid Compared to Conservative Interventions, Adv Ther, 2019 Jun 20; ():0741-238X",QALY,United States of America,Not Stated,Pharmaceutical,high molecular weight intra-articular injections with hyaluronic acid vs. Standard/Usual Care- non-steroidal anti-inflammatory drugs + analgesics,Early to Moderate Stage Knee Osteoarthritis,Not Stated,Not Stated,"Female, Male",Full,6 Months,Not Stated,Not Stated,10384.62,United States,2017,10964.65
22163,Modelling the optimal target age group for seasonal influenza vaccination in Japan,"BACKGROUND: In Japan, the current influenza vaccination programme is targeting older individuals. On the other hand, epidemics of influenza are likely to be mainly driven by children. In this study, we consider the most cost-effective target age group for a seasonal influenza vaccination programme in Japan. METHODS: We constructed a deterministic compartmental Susceptible-Exposed-Infectious-Recovered (SEIR) model with data from the 2012/13 to 2014/15 influenza seasons in Japan. Bayesian inference with Markov Chain Monte Carlo method was used for parameter estimation. Cost-effectiveness analyses were conducted from public health care payer''s perspective. RESULTS: A scenario targeting children under 15 was expected to reduce the number of cases 6,382,345 compared to the current strategy. A scenario targeting elderly population (age over 49years) was expected to reduce the number of cases 693,206. The children targeted scenario demonstrated negative ICER (incremental cost-effectiveness ratio) value. On the other hand, elderly targeted scenario demonstrated higher ICER value than the willingness to pay (50,000 USD/QALY). CONCLUSIONS: A vaccination programme which targets children under 15 is predicted to have much larger epidemiological impact than those targeting elderly.",2019-01-31337,31735503,Vaccine,Shinya Tsuzuki,2019,/,,Yes,31735503,"Shinya Tsuzuki; Francesca R Marino; Darleen M Lessard; Jane S Saczynski; David D McManus; Luke G Silverman-Lloyd; Christopher M Benson; Michael J Blaha; Molly E Waring; Modelling the optimal target age group for seasonal influenza vaccination in Japan, Vaccine, 2019 Jan 30; ():1873-2518",QALY,Japan,Not Stated,Immunization,influenza vaccination vs. Standard/Usual Care- Current vaccination coverage (>=65 years and >=60 if high risk population),Not Stated,Not Stated,19 Years,"Female, Male",Full,3 Years,Not Stated,Not Stated,-19866.32,United States,2017,-20975.94
22164,Modelling the optimal target age group for seasonal influenza vaccination in Japan,"BACKGROUND: In Japan, the current influenza vaccination programme is targeting older individuals. On the other hand, epidemics of influenza are likely to be mainly driven by children. In this study, we consider the most cost-effective target age group for a seasonal influenza vaccination programme in Japan. METHODS: We constructed a deterministic compartmental Susceptible-Exposed-Infectious-Recovered (SEIR) model with data from the 2012/13 to 2014/15 influenza seasons in Japan. Bayesian inference with Markov Chain Monte Carlo method was used for parameter estimation. Cost-effectiveness analyses were conducted from public health care payer''s perspective. RESULTS: A scenario targeting children under 15 was expected to reduce the number of cases 6,382,345 compared to the current strategy. A scenario targeting elderly population (age over 49years) was expected to reduce the number of cases 693,206. The children targeted scenario demonstrated negative ICER (incremental cost-effectiveness ratio) value. On the other hand, elderly targeted scenario demonstrated higher ICER value than the willingness to pay (50,000 USD/QALY). CONCLUSIONS: A vaccination programme which targets children under 15 is predicted to have much larger epidemiological impact than those targeting elderly.",2019-01-31337,31735503,Vaccine,Shinya Tsuzuki,2019,/,,Yes,31735503,"Shinya Tsuzuki; Francesca R Marino; Darleen M Lessard; Jane S Saczynski; David D McManus; Luke G Silverman-Lloyd; Christopher M Benson; Michael J Blaha; Molly E Waring; Modelling the optimal target age group for seasonal influenza vaccination in Japan, Vaccine, 2019 Jan 30; ():1873-2518",QALY,Japan,Not Stated,Immunization,influenza vaccination vs. Standard/Usual Care- Current vaccination coverage (>=65 years and >=60 if high risk population),Not Stated,Not Stated,19 Years,"Female, Male",Full,3 Years,Not Stated,Not Stated,-19.57,United States,2017,-20.67
22165,Modelling the optimal target age group for seasonal influenza vaccination in Japan,"BACKGROUND: In Japan, the current influenza vaccination programme is targeting older individuals. On the other hand, epidemics of influenza are likely to be mainly driven by children. In this study, we consider the most cost-effective target age group for a seasonal influenza vaccination programme in Japan. METHODS: We constructed a deterministic compartmental Susceptible-Exposed-Infectious-Recovered (SEIR) model with data from the 2012/13 to 2014/15 influenza seasons in Japan. Bayesian inference with Markov Chain Monte Carlo method was used for parameter estimation. Cost-effectiveness analyses were conducted from public health care payer''s perspective. RESULTS: A scenario targeting children under 15 was expected to reduce the number of cases 6,382,345 compared to the current strategy. A scenario targeting elderly population (age over 49years) was expected to reduce the number of cases 693,206. The children targeted scenario demonstrated negative ICER (incremental cost-effectiveness ratio) value. On the other hand, elderly targeted scenario demonstrated higher ICER value than the willingness to pay (50,000 USD/QALY). CONCLUSIONS: A vaccination programme which targets children under 15 is predicted to have much larger epidemiological impact than those targeting elderly.",2019-01-31337,31735503,Vaccine,Shinya Tsuzuki,2019,/,,Yes,31735503,"Shinya Tsuzuki; Francesca R Marino; Darleen M Lessard; Jane S Saczynski; David D McManus; Luke G Silverman-Lloyd; Christopher M Benson; Michael J Blaha; Molly E Waring; Modelling the optimal target age group for seasonal influenza vaccination in Japan, Vaccine, 2019 Jan 30; ():1873-2518",QALY,Japan,Not Stated,Immunization,influenza vaccination vs. Standard/Usual Care- Current vaccination coverage (>=65 years and >=60 if high risk population),Not Stated,Not Stated,19 Years,"Female, Male",Full,3 Years,Not Stated,Not Stated,-17.97,United States,2017,-18.97
22166,Modelling the optimal target age group for seasonal influenza vaccination in Japan,"BACKGROUND: In Japan, the current influenza vaccination programme is targeting older individuals. On the other hand, epidemics of influenza are likely to be mainly driven by children. In this study, we consider the most cost-effective target age group for a seasonal influenza vaccination programme in Japan. METHODS: We constructed a deterministic compartmental Susceptible-Exposed-Infectious-Recovered (SEIR) model with data from the 2012/13 to 2014/15 influenza seasons in Japan. Bayesian inference with Markov Chain Monte Carlo method was used for parameter estimation. Cost-effectiveness analyses were conducted from public health care payer''s perspective. RESULTS: A scenario targeting children under 15 was expected to reduce the number of cases 6,382,345 compared to the current strategy. A scenario targeting elderly population (age over 49years) was expected to reduce the number of cases 693,206. The children targeted scenario demonstrated negative ICER (incremental cost-effectiveness ratio) value. On the other hand, elderly targeted scenario demonstrated higher ICER value than the willingness to pay (50,000 USD/QALY). CONCLUSIONS: A vaccination programme which targets children under 15 is predicted to have much larger epidemiological impact than those targeting elderly.",2019-01-31337,31735503,Vaccine,Shinya Tsuzuki,2019,/,,Yes,31735503,"Shinya Tsuzuki; Francesca R Marino; Darleen M Lessard; Jane S Saczynski; David D McManus; Luke G Silverman-Lloyd; Christopher M Benson; Michael J Blaha; Molly E Waring; Modelling the optimal target age group for seasonal influenza vaccination in Japan, Vaccine, 2019 Jan 30; ():1873-2518",QALY,Japan,Not Stated,Immunization,influenza vaccination vs. Standard/Usual Care- Current vaccination coverage (>=65 years and >=60 if high risk population),Not Stated,Not Stated,19 Years,"Female, Male",Full,3 Years,Not Stated,Not Stated,133.6,United States,2017,141.06
22167,Modelling the optimal target age group for seasonal influenza vaccination in Japan,"BACKGROUND: In Japan, the current influenza vaccination programme is targeting older individuals. On the other hand, epidemics of influenza are likely to be mainly driven by children. In this study, we consider the most cost-effective target age group for a seasonal influenza vaccination programme in Japan. METHODS: We constructed a deterministic compartmental Susceptible-Exposed-Infectious-Recovered (SEIR) model with data from the 2012/13 to 2014/15 influenza seasons in Japan. Bayesian inference with Markov Chain Monte Carlo method was used for parameter estimation. Cost-effectiveness analyses were conducted from public health care payer''s perspective. RESULTS: A scenario targeting children under 15 was expected to reduce the number of cases 6,382,345 compared to the current strategy. A scenario targeting elderly population (age over 49years) was expected to reduce the number of cases 693,206. The children targeted scenario demonstrated negative ICER (incremental cost-effectiveness ratio) value. On the other hand, elderly targeted scenario demonstrated higher ICER value than the willingness to pay (50,000 USD/QALY). CONCLUSIONS: A vaccination programme which targets children under 15 is predicted to have much larger epidemiological impact than those targeting elderly.",2019-01-31337,31735503,Vaccine,Shinya Tsuzuki,2019,/,,Yes,31735503,"Shinya Tsuzuki; Francesca R Marino; Darleen M Lessard; Jane S Saczynski; David D McManus; Luke G Silverman-Lloyd; Christopher M Benson; Michael J Blaha; Molly E Waring; Modelling the optimal target age group for seasonal influenza vaccination in Japan, Vaccine, 2019 Jan 30; ():1873-2518",QALY,Japan,Not Stated,Immunization,influenza vaccination vs. Standard/Usual Care- Current vaccination coverage (>=65 years and >=60 if high risk population),Not Stated,Not Stated,19 Years,"Female, Male",Full,3 Years,Not Stated,Not Stated,133.2,United States,2017,140.64
22168,Modelling the optimal target age group for seasonal influenza vaccination in Japan,"BACKGROUND: In Japan, the current influenza vaccination programme is targeting older individuals. On the other hand, epidemics of influenza are likely to be mainly driven by children. In this study, we consider the most cost-effective target age group for a seasonal influenza vaccination programme in Japan. METHODS: We constructed a deterministic compartmental Susceptible-Exposed-Infectious-Recovered (SEIR) model with data from the 2012/13 to 2014/15 influenza seasons in Japan. Bayesian inference with Markov Chain Monte Carlo method was used for parameter estimation. Cost-effectiveness analyses were conducted from public health care payer''s perspective. RESULTS: A scenario targeting children under 15 was expected to reduce the number of cases 6,382,345 compared to the current strategy. A scenario targeting elderly population (age over 49years) was expected to reduce the number of cases 693,206. The children targeted scenario demonstrated negative ICER (incremental cost-effectiveness ratio) value. On the other hand, elderly targeted scenario demonstrated higher ICER value than the willingness to pay (50,000 USD/QALY). CONCLUSIONS: A vaccination programme which targets children under 15 is predicted to have much larger epidemiological impact than those targeting elderly.",2019-01-31337,31735503,Vaccine,Shinya Tsuzuki,2019,/,,Yes,31735503,"Shinya Tsuzuki; Francesca R Marino; Darleen M Lessard; Jane S Saczynski; David D McManus; Luke G Silverman-Lloyd; Christopher M Benson; Michael J Blaha; Molly E Waring; Modelling the optimal target age group for seasonal influenza vaccination in Japan, Vaccine, 2019 Jan 30; ():1873-2518",QALY,Japan,Not Stated,Immunization,influenza vaccination vs. Standard/Usual Care- Current vaccination coverage (>=65 years and >=60 if high risk population),Not Stated,Not Stated,19 Years,"Female, Male",Full,3 Years,Not Stated,Not Stated,111.2,United States,2017,117.41
